city,year,month,season,TMAX_mean,TMAX_max,TMAX_std,TMIN_mean,TMIN_min,TMIN_std,PRCP_sum,SNOW_sum,AWND_mean,TMAX_anomaly_mean,TMIN_anomaly_mean,PRCP_anomaly_sum
San Antonio,2018,12,Winter,17.87741935483871,26.1,4.699908486869317,6.280645161290322,0.6,3.732596893570544,59.699999999999996,0.0,3.664516129032258,-1.1311827956989242,-1.3218637992831535,8.66666666666666
San Antonio,2019,1,Winter,16.848387096774193,25.6,4.445737356745367,5.54516129032258,-1.6,4.03731253101841,41.5,0.0,3.306451612903226,-1.040967741935485,0.43161290322580664,0.9499999999999966
San Antonio,2019,2,Winter,18.857142857142858,30.0,5.846330192486285,9.507142857142856,0.0,5.379930370706557,12.2,0.0,3.4107142857142856,-0.8354103343465064,2.1245187436676796,-20.119148936170212
San Antonio,2019,3,Spring,21.23548387096774,30.6,6.385428640642004,10.593548387096773,-2.1,5.648535827030515,11.9,0.0,4.16774193548387,-2.750322580645163,-1.0845161290322578,-32.69
San Antonio,2019,4,Spring,26.523333333333333,33.3,3.7028119169023457,14.163333333333332,2.8,4.583514938930853,88.2,0.0,4.6466666666666665,-0.719999999999999,-1.087999999999998,1.5899999999999972
San Antonio,2019,5,Spring,29.70967741935484,33.9,3.4186113007779118,20.335483870967742,13.9,3.6002359540356785,84.0,0.0,5.061290322580645,-1.0796774193548428,0.7809677419354837,-55.07999999999999
San Antonio,2019,6,Summer,32.906666666666666,36.1,2.4105992005613732,22.273333333333333,18.3,2.2075002766170537,139.9,0.0,4.04,-0.9893333333333345,-1.0186666666666684,71.91
San Antonio,2019,7,Summer,34.742105263157896,37.2,1.5934992206091223,24.152631578947368,21.7,1.2121461321202311,3.6,0.0,4.521052631578947,-1.161921582479686,-0.3201872129989379,-19.25738255033557
San Antonio,2020,1,Winter,20.219354838709677,27.2,4.18978275927195,8.567741935483872,1.1,4.838552613938331,47.6,0.0,3.2838709677419353,2.3299999999999987,3.454193548387097,7.049999999999997
San Antonio,2020,2,Winter,19.33448275862069,27.2,5.129764396014762,6.4206896551724135,-1.6,4.641842253608922,27.3,0.0,3.927586206896552,-0.35807043286867346,-0.9619344583027639,-6.1734042553191495
San Antonio,2020,3,Spring,25.796774193548387,33.3,4.607926784065891,15.212903225806452,8.3,4.1358386441352595,38.9,0.0,3.8838709677419354,1.8109677419354815,3.5348387096774196,-5.689999999999995
San Antonio,2020,4,Spring,27.253333333333334,36.7,5.772391683446856,14.523333333333333,7.2,4.1022855978633155,73.5,0.0,3.8066666666666666,0.010000000000000793,-0.727999999999998,-13.110000000000003
San Antonio,2020,5,Spring,32.538709677419355,36.1,2.7394254165615153,19.22258064516129,13.9,2.4763830717963593,148.2,0.0,4.232258064516128,1.7493548387096738,-0.33193548387096794,9.120000000000012
San Antonio,2020,6,Summer,33.81666666666667,36.7,1.9442369894805442,22.926666666666666,17.2,2.4774755412458176,21.9,0.0,4.09,-0.07933333333333473,-0.3653333333333349,-46.09
San Antonio,2020,7,Summer,37.59032258064516,41.7,1.575723080305181,25.154838709677417,22.8,1.1555197127057644,4.1,0.0,4.509677419354839,1.6862957350075805,0.6820199177311134,-33.19362416107383
San Antonio,2020,8,Summer,37.84838709677419,40.0,1.5517454618894877,24.451612903225808,20.6,1.5787908807569462,22.9,0.0,3.838709677419355,1.6960573476702516,-0.06523297491039129,-24.844444444444445
San Antonio,2020,9,Fall,31.67,37.8,3.565461715034859,20.470000000000002,10.6,4.036057311373274,78.5,0.0,3.94,-1.403333333333331,-1.3603703703703713,-35.55555555555556
San Antonio,2020,10,Fall,29.154838709677417,36.1,6.148378578111875,15.59032258064516,4.4,5.845474308597472,5.9,0.0,3.5258064516129033,0.27419354838709803,-1.2068100358422913,-71.62222222222223
