city,year,month,season,TMAX_mean,TMAX_max,TMAX_std,TMIN_mean,TMIN_min,TMIN_std,PRCP_sum,SNOW_sum,AWND_mean,TMAX_anomaly_mean,TMIN_anomaly_mean,PRCP_anomaly_sum
Philadelphia,2013,11,Fall,12.24,21.7,5.73,2.77,-6.6,4.95,69.4,0.0,4.34,-0.76,-0.77,20.17
Phoenix,2013,11,Fall,25.22,33.3,4.87,13.3,7.8,2.84,61.8,0.0,2.49,-0.57,0.63,47.52
San Antonio,2013,11,Fall,20.71,31.7,6.85,10.29,0.6,6.73,38.2,0.0,3.11,-1.5,-0.72,-18.07
San Diego,2013,11,Fall,21.68,28.9,3.08,13.7,10.6,1.72,37.6,0.0,1.8,-0.83,0.84,15.02
Chicago,2013,12,Winter,-0.12,13.3,6.13,-8.08,-21.0,7.2,49.5,362.0,4.45,-3.74,-3.98,-6.85
Houston,2013,12,Winter,16.14,27.2,6.46,5.38,-1.0,5.97,42.3,0.0,2.99,-3.33,-3.16,-57.61
Los Angeles,2013,12,Winter,20.79,29.4,4.48,9.21,3.9,2.69,7.6,0.0,2.24,1.54,-0.61,-63.86
New York,2013,12,Winter,6.93,21.7,6.41,0.42,-7.1,5.4,123.2,219.0,2.63,-0.84,-1.33,12.94
Philadelphia,2013,12,Winter,7.6,20.0,6.07,-0.12,-6.0,4.86,132.2,285.0,3.67,-1.64,-1.84,40.0
Phoenix,2013,12,Winter,19.78,27.8,3.77,7.21,2.2,2.63,9.9,0.0,2.19,0.03,-0.85,-10.92
San Antonio,2013,12,Winter,17.08,30.0,6.47,5.27,-1.6,5.41,14.1,0.0,2.7,-1.93,-2.33,-36.93
San Diego,2013,12,Winter,20.3,27.8,3.85,10.12,6.7,1.93,11.7,0.0,1.67,0.87,0.08,-44.05
Chicago,2014,1,Winter,-0.12,10.56,6.81,-8.08,-21.04,7.2,71.8,517.38,5.26,-3.67,-3.98,19.19
Houston,2014,1,Winter,16.59,25.0,6.08,2.85,-6.0,4.99,24.5,0.0,3.77,-1.18,-3.27,-73.35
Los Angeles,2014,1,Winter,22.03,30.6,4.35,10.55,7.8,1.73,0.0,0.0,2.04,2.45,0.58,-56.48
New York,2014,1,Winter,1.94,14.4,6.67,-5.6,-15.5,6.33,71.0,500.0,3.0,-2.27,-3.06,-16.16
Philadelphia,2014,1,Winter,2.89,16.1,7.48,-6.92,-15.5,5.34,90.4,517.38,4.25,-2.39,-3.98,9.48
Phoenix,2014,1,Winter,22.81,27.2,2.18,8.19,3.9,2.78,0.0,0.0,1.85,2.61,0.71,-16.27
San Antonio,2014,1,Winter,17.97,27.8,6.8,3.23,-5.5,4.58,5.8,3.0,3.36,0.08,-1.88,-34.75
San Diego,2014,1,Winter,21.42,27.8,3.34,11.13,7.8,1.88,0.3,0.0,1.43,1.79,0.97,-37.56
Chicago,2014,2,Winter,-0.12,10.56,5.45,-8.08,-21.04,6.27,63.0,498.0,4.69,-3.82,-3.98,8.21
Houston,2014,2,Winter,17.79,26.7,7.15,7.43,-1.6,6.31,60.8,0.0,3.7,-1.92,-1.09,8.6
Los Angeles,2014,2,Winter,19.32,25.6,2.62,11.48,7.8,1.67,70.9,0.0,2.79,-0.18,1.21,39.07
New York,2014,2,Winter,3.08,13.3,5.09,-3.4,-12.7,4.78,139.2,517.38,2.83,-2.83,-1.88,41.97
Philadelphia,2014,2,Winter,4.11,17.2,5.69,-3.88,-12.1,3.73,130.0,517.38,4.0,-2.91,-2.23,45.19
Phoenix,2014,2,Winter,24.9,31.1,4.43,11.13,5.0,2.32,0.0,0.0,2.29,2.7,1.95,-15.34
San Antonio,2014,2,Winter,20.5,33.3,7.98,7.77,-1.6,6.73,10.6,8.0,3.61,0.8,0.39,-21.72
San Diego,2014,2,Winter,20.02,24.4,2.57,12.4,8.9,1.7,25.5,0.0,2.2,0.15,1.69,-1.35
Chicago,2014,3,Spring,4.96,20.0,6.87,-5.25,-18.8,5.85,43.5,313.0,4.93,-3.05,-3.98,-18.59
